start_time,away_team,away_team_score,home_team,home_team_score
2024-10-31 02:30:00+00:00,PORTLAND TRAIL BLAZERS,106,LOS ANGELES CLIPPERS,105
2024-11-01 00:00:00+00:00,MILWAUKEE BUCKS,99,MEMPHIS GRIZZLIES,122
2024-11-01 00:30:00+00:00,HOUSTON ROCKETS,108,DALLAS MAVERICKS,102
2024-11-01 01:00:00+00:00,SAN ANTONIO SPURS,106,UTAH JAZZ,88
2024-11-01 02:30:00+00:00,PHOENIX SUNS,125,LOS ANGELES CLIPPERS,119
2024-11-01 23:00:00+00:00,BOSTON CELTICS,124,CHARLOTTE HORNETS,109
2024-11-01 23:00:00+00:00,ORLANDO MAGIC,109,CLEVELAND CAVALIERS,120
2024-11-01 23:00:00+00:00,NEW YORK KNICKS,128,DETROIT PISTONS,98
2024-11-01 23:30:00+00:00,SACRAMENTO KINGS,123,ATLANTA HAWKS,115
2024-11-01 23:30:00+00:00,CHICAGO BULLS,112,BROOKLYN NETS,120
2024-11-01 23:30:00+00:00,LOS ANGELES LAKERS,131,TORONTO RAPTORS,125
2024-11-02 00:00:00+00:00,INDIANA PACERS,118,NEW ORLEANS PELICANS,125
2024-11-02 01:30:00+00:00,DENVER NUGGETS,116,MINNESOTA TIMBERWOLVES,119
2024-11-02 02:00:00+00:00,OKLAHOMA CITY THUNDER,137,PORTLAND TRAIL BLAZERS,114
2024-11-02 22:00:00+00:00,BOSTON CELTICS,113,CHARLOTTE HORNETS,103
2024-11-02 23:30:00+00:00,MEMPHIS GRIZZLIES,124,PHILADELPHIA 76ERS,107
2024-11-02 23:30:00+00:00,SACRAMENTO KINGS,128,TORONTO RAPTORS,131
2024-11-03 00:00:00+00:00,GOLDEN STATE WARRIORS,127,HOUSTON ROCKETS,121
2024-11-03 00:00:00+00:00,CLEVELAND CAVALIERS,114,MILWAUKEE BUCKS,113
2024-11-03 00:00:00+00:00,MINNESOTA TIMBERWOLVES,103,SAN ANTONIO SPURS,113
2024-11-03 01:30:00+00:00,MIAMI HEAT,118,WASHINGTON WIZARDS,98
2024-11-03 02:00:00+00:00,UTAH JAZZ,103,DENVER NUGGETS,129
2024-11-03 02:00:00+00:00,PORTLAND TRAIL BLAZERS,97,PHOENIX SUNS,103
2024-11-03 02:30:00+00:00,OKLAHOMA CITY THUNDER,105,LOS ANGELES CLIPPERS,92
2024-11-03 20:30:00+00:00,DETROIT PISTONS,106,BROOKLYN NETS,92
2024-11-04 00:00:00+00:00,ATLANTA HAWKS,126,NEW ORLEANS PELICANS,111
2024-11-04 00:30:00+00:00,ORLANDO MAGIC,85,DALLAS MAVERICKS,108
2024-11-05 00:00:00+00:00,MILWAUKEE BUCKS,114,CLEVELAND CAVALIERS,116
2024-11-05 00:15:00+00:00,GOLDEN STATE WARRIORS,125,WASHINGTON WIZARDS,112
2024-11-05 00:30:00+00:00,LOS ANGELES LAKERS,103,DETROIT PISTONS,115
2024-11-05 00:45:00+00:00,BOSTON CELTICS,123,ATLANTA HAWKS,93
2024-11-05 01:00:00+00:00,MEMPHIS GRIZZLIES,104,BROOKLYN NETS,106
2024-11-05 01:15:00+00:00,SACRAMENTO KINGS,111,MIAMI HEAT,110
2024-11-05 01:30:00+00:00,UTAH JAZZ,135,CHICAGO BULLS,126
2024-11-05 01:45:00+00:00,NEW YORK KNICKS,97,HOUSTON ROCKETS,109
2024-11-05 02:00:00+00:00,CHARLOTTE HORNETS,93,MINNESOTA TIMBERWOLVES,114
2024-11-05 02:15:00+00:00,ORLANDO MAGIC,86,OKLAHOMA CITY THUNDER,102
2024-11-05 02:30:00+00:00,PORTLAND TRAIL BLAZERS,118,NEW ORLEANS PELICANS,100
2024-11-05 02:45:00+00:00,INDIANA PACERS,134,DALLAS MAVERICKS,127
2024-11-05 03:00:00+00:00,TORONTO RAPTORS,119,DENVER NUGGETS,121
2024-11-05 03:15:00+00:00,PHILADELPHIA 76ERS,116,PHOENIX SUNS,118
2024-11-05 03:30:00+00:00,SAN ANTONIO SPURS,104,LOS ANGELES CLIPPERS,113
2024-11-07 00:00:00+00:00,DETROIT PISTONS,107,CHARLOTTE HORNETS,108
